#STEP_FILE ! FILE_SIZE ! MOD_TIME

MWSA1206S.STEP ! 132526 ! 1664190334
NULL.STEP ! 14715 ! 1700561209
AFC12-S03CCC-00.STEP ! 2151413 ! 1708227754
XH-07A.STEP ! 646856 ! 1564369394
IHLP-2525CZ.STEP ! 1073779 ! 1709029194
CASE-X-7343.stp ! 193680 ! 1595038472
F1812.STEP ! 85301 ! 1636650236
DO-214AB.STEP ! 786772 ! 1605530498
SOD-323.STEP ! 100273 ! 1568799968
SOT-23-6.STEP ! 247406 ! 1596729330
CAP-TH_BD6_3-H11-D2_5-P1_6-D1_0.STEP ! 389070 ! 1700496752
C1812.STEP ! 524997 ! 1573583332
HDR254M-1X4.stp ! 124769 ! 1401940848
HDR254M-1X3.stp ! 92501 ! 1401940840
R2512.STEP ! 196471 ! 1659692723
A1257WR-S-3P.STEP ! 274737 ! 1673891018
OSC-3x8-WI-B.STEP ! 159623 ! 1621394611
None.STEP ! 1045 ! 1699846949
SOP50P310X90-8N.STEP ! 1149388 ! 1611854124
CDRH74.STEP ! 492140 ! 1569119702
RELAY-TH_G2RL-2.stp ! 66517 ! 1491561343
HX1188NL.STEP ! 684719 ! 1505894800
LED0402_RED.STEP ! 147067 ! 1705518708
CAPAE1030X1350N.STEP ! 977489 ! 1590794608
SOIC254P700X410-4N.STEP ! 1151459 ! 1712654774
XH-04A.STEP ! 418107 ! 1564368584
XGZP6847A.STEP ! 574692 ! 1678438246
TPYEC-16P.stp ! 2352364 ! 1681540529
TSSOP65P640X95-20N.STEP ! 1692817 ! 1714037604
SOP65P490X110-9N.stp ! 189977 ! 1572332201
FB1206.STEP ! 86956 ! 1661825627
AF-SS-JB17_6.STEP ! 3342152 ! 1706431694
XH-06AW.STEP ! 425962 ! 1567813960
AFC12-S06CCC-00.STEP ! 2261717 ! 1708230628
0_001.STEP ! 21408 ! 1700561723
URB2412YMD.STEP ! 870104 ! 1706870203
A1257WR-S-2P.STEP ! 249455 ! 1688496410
SOD-123.STEP ! 152024 ! 1659864128
TO-263-3.STEP ! 138617 ! 1690871462
DF-24DS-0_4-V51.stp ! 955891 ! 1260349194
PSPMAA0805.STEP ! 1859032 ! 1688873363
CAP-TH_L1800-W1000-H1800-P1500-D1_2.STEP ! 169494 ! 1614924821
SMMS1770.STEP ! 611708 ! 1680823210
C1808.STEP ! 125899 ! 1598293812
ACM-7060-2P.STEP ! 200349 ! 1661821924
DB25-F.STEP ! 598194 ! 1545576234
SOP63P1035X279-48N.STEP ! 2289409 ! 1644168212
R1206.STEP ! 550221 ! 1563548388
PSPMAA0605.STEP ! 125204 ! 1690860439
SOP65P640X120-20N.STEP ! 766190 ! 1680485538
C0805.STEP ! 933938 ! 1563546684
R0603.STEP ! 689175 ! 1563563900
XH-05A.STEP ! 494586 ! 1564369068
QFN40P400X400X100-32N-P.STEP ! 934923 ! 1584228700
DO214-AA.STEP ! 163244 ! 1659850730
XGZP6857A100KPGPN33.STEP ! 321188 ! 1672684938
TO-263-7.STEP ! 775164 ! 1591476186
SOT-23-THIN.STEP ! 308696 ! 1637688472
5267-04A.stp ! 172447 ! 1473183360
R2010.STEP ! 438638 ! 1712600248
XB-DIN-G-4P-W.STEP ! 1373321 ! 1688132941
CAPAE630X700.STEP ! 215431 ! 1664787804
DO-214AA.STEP ! 163244 ! 1659850730
SOIC127P1030X265-16N.STEP ! 827143 ! 1563704050
LED0805_GREEN.STEP ! 178859 ! 1567109888
SOT-23-5.STEP ! 214304 ! 1567915306
A-TC-FBL2120.stp ! 1650643 ! 1713862913
QFP50P1600X1600X160-100N.STEP ! 5007769 ! 1637691628
LQFP48.STEP ! 5915973 ! 1563813784
XH-04AW.STEP ! 328973 ! 1567813006
HDR254M-1X5.stp ! 156720 ! 1401940858
XH-02A.STEP ! 259166 ! 1564200714
CDRH127.STEP ! 506171 ! 1544903860
LL-34.STEP ! 67698 ! 1563565156
Diode R-6 diameter 9_1 pitch 600mils.STEP ! 89161 ! 1600670828
AS14TTL.STEP ! 281784 ! 1636706948
DO-201AV-Vertical_200MIL.STEP ! 165491 ! 1661758208
F1206.STEP ! 263561 ! 1688310266
HC-1_25-8PWT.STEP ! 316076 ! 1658295510
VQFN-20.STEP ! 1629842 ! 1709084922
HC-SHD-2x15PLT-G-04.STEP ! 3563257 ! 1711013764
0_000.STEP ! 1049 ! 1702274930
FB0603.stp ! 74996 ! 1600465117
XT90-2_2-PB-M.STEP ! 1259497 ! 1690883109
M3X5mm.STEP ! 81880 ! 1545029782
XH-03A.STEP ! 342067 ! 1564368568
2_54-2PWTDK.STEP ! 1030179 ! 1723018343
CONN-TH_DC-005-2_5A-2_5.stp ! 749805 ! 1608629151
DSHP03TS-S.STEP ! 1283136 ! 1673942223
C1206.STEP ! 790068 ! 1563546646
SOT-363.STEP ! 208411 ! 1609075400
ACM-2520-2P.STEP ! 933075 ! 1614024676
TO-263.STEP ! 138556 ! 1572875872
R0805.STEP ! 699683 ! 1563550460
XH-02AW.STEP ! 218894 ! 1567109136
C0603.STEP ! 591037 ! 1563564632
